Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-05-19,2489.7320013130034,2547.933619738323,2489.7320013130034,2502.665771484375,135307947,0.0,0.0
2021-05-20,2483.2652025989473,2541.4666453052196,2470.331432882273,2509.132568359375,164832677,0.0,0.0
2021-05-21,2535.000092820765,2554.400749939473,2496.1991259292354,2515.599609375,121124632,0.0,0.0
2021-05-24,2567.334200773753,2625.5358214536395,2528.5332361024502,2612.60205078125,147190132,0.0,0.0
2021-05-25,2632.0026005006957,2677.270451667128,2612.602117668359,2625.535888671875,168676803,0.0,0.0
2021-05-27,2677.270415606448,2709.6046690067847,2554.400634765625,2554.400634765625,622692705,0.0,0.0
2021-05-28,2612.6019597465975,2696.6707714960667,2599.668363197805,2632.00244140625,274099434,0.0,0.0
2021-05-31,2670.80350501359,2767.805910646545,2657.869735147248,2754.872314453125,326538660,0.0,0.0
2021-06-02,2813.0737578328976,2832.474412632411,2735.471833326534,2754.872314453125,312257333,0.0,0.0
2021-06-03,2761.339325447577,2819.540771484375,2729.005072978513,2819.540771484375,173444725,0.0,0.0
2021-06-04,2832.474298612231,2838.941009612165,2774.27268390242,2806.60693359375,138144236,0.0,0.0
2021-06-07,2806.607136495584,2813.0738479630245,2722.5381506895797,2748.405517578125,152755788,0.0,0.0
2021-06-08,2767.8060950973977,2767.8060950973977,2709.604647838991,2716.071533203125,108888570,0.0,0.0
2021-06-09,2651.402786498074,2761.3391330284066,2651.402786498074,2729.0048828125,107433795,0.0,0.0
2021-06-10,2767.8059759223784,2793.6733425921952,2754.872379423933,2780.73974609375,106984877,0.0,0.0
2021-06-11,2813.0737553495155,2813.0737553495155,2767.805908203125,2767.805908203125,57809408,0.0,0.0
2021-06-14,2800.1398913829953,2813.073486328125,2767.8056435108138,2813.073486328125,133363443,0.0,0.0
2021-06-15,2813.073850901906,2813.073850901906,2722.538153533876,2735.471923828125,200713646,0.0,0.0
2021-06-16,2683.736858044639,2696.670453066199,2593.201171875,2593.201171875,481002668,0.0,0.0
2021-06-17,2573.8009323620176,2632.002375892265,2541.466681285488,2606.135009765625,336253477,0.0,0.0
2021-06-18,2625.536040717706,2625.536040717706,2528.533447265625,2528.533447265625,325605954,0.0,0.0
2021-06-21,2509.1323905547456,2567.33382913669,2496.198621754597,2547.933349609375,159544775,0.0,0.0
2021-06-22,2547.9337184381016,2632.0025331169013,2534.999947765712,2612.60205078125,132832794,0.0,0.0
2021-06-23,2619.0685569914676,2632.002152118708,2547.933349609375,2547.933349609375,178751767,0.0,0.0
2021-06-24,2586.7344629106938,2593.2013476963875,2560.8670974408365,2580.267578125,55421157,0.0,0.0
