Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-12-05,6241.05908203125,6241.05908203125,6241.05908203125,6241.05908203125,459400,0.0,0.0
2024-12-06,7484.578125,7484.578125,7484.578125,7484.578125,446600,0.0,0.0
2024-12-09,8962.7236328125,8962.7236328125,8962.7236328125,8962.7236328125,43658100,0.0,0.0
2024-12-10,9854.303290374088,10675.495231238594,9009.648722627737,9643.1396484375,228636600,0.0,0.0
2024-12-11,9643.14038848877,9807.378789265951,8986.186785380047,9009.6494140625,100219900,0.0,0.0
2024-12-12,8939.261233122452,9173.887512207031,8470.008674953295,8634.2470703125,71848600,0.0,0.0
2024-12-13,8657.709698220959,8939.261233122452,8587.321814495584,8634.2470703125,34171200,0.0,0.0
2024-12-16,8634.246621621622,8798.485008445947,8282.307221283783,8681.171875,36485400,0.0,0.0
2024-12-17,8821.948135504203,8821.948135504203,8329.232947085084,8376.158203125,28673300,0.0,0.0
2024-12-18,8446.546129877168,8563.859270569905,8047.681451521857,8118.0693359375,31870800,0.0,0.0
2024-12-19,7977.293343001497,8000.755970480913,7695.741813248503,7836.517578125,29111500,0.0,0.0
2024-12-20,7836.51761440596,7930.368124758127,7531.503455761416,7578.4287109375,23208900,0.0,0.0
2024-12-23,7648.8164704975325,7672.279097707647,7132.638671875,7132.638671875,46265000,0.0,0.0
2024-12-24,7132.639006877022,7554.966316494741,6780.699582195591,7249.9521484375,54599400,0.0,0.0
2024-12-27,7273.414623948776,7672.279296875,7085.7136013952595,7672.279296875,25098400,0.0,0.0
2024-12-30,7742.667398368363,8118.0694540468285,7695.742141408555,7953.8310546875,31693100,0.0,0.0
2025-01-02,8071.144008833587,8164.99452056421,7695.741961911094,7719.20458984375,21152800,0.0,0.0
2025-01-03,7719.204554077926,7766.129809725817,7320.33988107086,7367.26513671875,22675900,0.0,0.0
2025-01-06,7390.727881018424,7437.653137405843,7179.564227275041,7203.02685546875,13110900,0.0,0.0
2025-01-07,7203.0265221974205,7578.4285559275795,7179.563895089285,7390.7275390625,19520000,0.0,0.0
2025-01-08,7390.727726862981,7461.115609975962,7249.9519606370195,7320.33984375,10791400,0.0,0.0
2025-01-09,7320.339767654221,7343.802395114651,7179.56400289164,7226.4892578125,7906700,0.0,0.0
2025-01-10,7226.489571810472,8024.218940127213,7085.713800931047,7953.8310546875,53141500,0.0,0.0
2025-01-13,7953.830715522081,8305.770127713324,7695.741813248503,7836.517578125,39643700,0.0,0.0
2025-01-14,7930.368127686246,8235.38228644341,7859.980244896132,8188.45703125,23693100,0.0,0.0
2025-01-15,8282.3076171875,8423.083384051877,8164.994478133853,8282.3076171875,19820500,0.0,0.0
2025-01-16,8329.232607754793,8399.620488947088,8024.218455921519,8258.8447265625,15213500,0.0,0.0
2025-01-17,8282.30743065309,8634.24683988764,8282.30743065309,8352.6953125,29547800,0.0,0.0
2025-01-20,8446.546087184874,8610.78448332458,8329.232947085084,8376.158203125,18672500,0.0,0.0
2025-01-21,8423.083650578214,8446.546279131357,8211.91999359993,8305.7705078125,15622500,0.0,0.0
2025-01-22,8305.770319065126,8540.396599264706,8258.84506302521,8376.158203125,18217600,0.0,0.0
2025-01-23,8493.471228966346,8821.948016826924,8423.083345853365,8540.396484375,38617100,0.0,0.0
2025-01-24,8610.78410167011,8681.171982610193,8493.470966769972,8516.93359375,16629300,0.0,0.0
2025-01-30,8540.396164772728,9150.424462256493,8540.396164772728,9033.111328125,52306500,0.0,0.0
2025-01-31,9150.424572172618,9197.349826388889,8868.873046875,8868.873046875,15546900,0.0,0.0
2025-02-03,8775.023227080455,8821.948484979283,8376.158534940436,8493.4716796875,28710000,0.0,0.0
2025-02-04,8493.470888100626,8563.858768388753,8305.769873998956,8423.0830078125,13200900,0.0,0.0
2025-02-05,8423.083650578214,8470.008907684498,8235.382622153073,8305.7705078125,11821800,0.0,0.0
2025-02-06,8352.695623357733,8376.158251513232,7742.667291314752,7813.05517578125,21256500,0.0,0.0
2025-02-07,7813.055294107075,7836.517922617907,7484.578494955426,7648.81689453125,23143400,0.0,0.0
2025-02-10,7859.980162617555,7859.980162617555,7343.802360893417,7484.578125,17859300,0.0,0.0
2025-02-11,7508.0408266129025,7554.966081779234,7249.951923198084,7273.41455078125,11567800,0.0,0.0
2025-02-12,7273.414769143051,7695.742078319099,7273.414769143051,7554.96630859375,14910400,0.0,0.0
2025-02-13,7578.428862949588,7578.428862949588,7367.26521042158,7461.11572265625,6934200,0.0,0.0
2025-02-14,7461.115759277344,7601.891528320313,7461.115759277344,7508.041015625,4237200,0.0,0.0
2025-02-17,7531.503346946023,7789.592246685606,7484.578092447917,7742.6669921875,9321200,0.0,0.0
2025-02-18,7789.592583955224,8024.218866604478,7766.129955690299,7859.98046875,10796800,0.0,0.0
2025-02-19,7953.830752346169,7953.830752346169,7531.503455761416,7578.4287109375,10236900,0.0,0.0
2025-02-20,7508.040747549019,7554.966002221201,7085.713455499387,7179.56396484375,67214500,0.0,0.0
2025-02-21,7179.564227275041,7320.339996437297,6944.937945337948,7203.02685546875,20244100,0.0,0.0
2025-02-24,7203.026553505345,7203.026553505345,7038.788163034539,7132.638671875,8838300,0.0,0.0
2025-02-25,7132.6387052047785,7179.563959844283,6827.624550047995,6874.5498046875,16281900,0.0,0.0
2025-02-26,6921.475172776442,6968.400428185097,6710.3115234375,6710.3115234375,13316400,0.0,0.0
2025-02-27,6733.774225484914,7062.251016971983,6710.311597521551,6804.162109375,12668600,0.0,0.0
2025-02-28,6733.774070995004,6827.624580695283,6241.058895068541,6311.44677734375,22501000,0.0,0.0
2025-03-03,6381.834581367924,6522.610344192217,6147.208309994104,6217.59619140625,23048400,0.0,0.0
2025-03-04,6217.596381620231,6217.596381620231,5631.030685240964,5842.1943359375,37373400,0.0,0.0
2025-03-05,5865.6570733762255,6241.059126072304,5865.6570733762255,5982.97021484375,22020200,0.0,0.0
2025-03-06,6241.058932483857,6546.07309083833,6217.596304918127,6358.3720703125,29239800,0.0,0.0
2025-03-07,6381.834972249035,6428.760229397924,6006.432915057915,6076.82080078125,18601200,0.0,0.0
2025-03-10,6381.834620786517,6475.685129915731,6194.13360252809,6264.521484375,21085300,0.0,0.0
2025-03-11,6194.1335254277565,6217.596152418014,6006.432509505704,6170.6708984375,13225900,0.0,0.0
2025-03-12,6147.208458533654,6147.208458533654,6029.8953200120195,6100.283203125,5843800,0.0,0.0
2025-03-13,6100.283017466731,6264.521406398527,6006.432509505704,6170.6708984375,10139500,0.0,0.0
2025-03-14,6217.59657222792,6241.059200802365,6053.358172206805,6076.82080078125,5586600,0.0,0.0
2025-03-17,6147.2086054104475,6334.90963152985,6123.745977145522,6287.984375,6682000,0.0,0.0
2025-03-18,6287.9841058686025,6311.446733129305,5701.418424351009,5959.50732421875,18569300,0.0,0.0
2025-03-19,5982.970064603366,6522.610501802885,5912.582181490385,6405.29736328125,22516500,0.0,0.0
2025-03-20,6546.073129507212,6663.386268028847,6334.9094801682695,6405.29736328125,13527900,0.0,0.0
2025-03-21,6405.297589470359,6428.760218003217,6217.596561207491,6381.8349609375,12214900,0.0,0.0
2025-03-24,6381.8347745706105,6381.8347745706105,5936.044845464576,6147.20849609375,7156000,0.0,0.0
2025-03-25,6147.208612898285,6194.133869485295,5982.97021484375,5982.97021484375,7352400,0.0,0.0
2025-03-26,6006.432509505704,6241.05877940827,6006.432509505704,6170.6708984375,6558700,0.0,0.0
2025-03-27,6170.6713511733715,6194.133979885058,6100.283465038314,6123.74609375,5145500,0.0,0.0
2025-04-08,5490.254806385869,5584.105315896739,5232.165905230978,5396.404296875,18804600,0.0,0.0
2025-04-09,5396.404296875,5560.642688519021,5349.479042119565,5396.404296875,12763900,0.0,0.0
2025-04-10,5701.418646240235,5771.806530761719,5584.105505371094,5631.03076171875,12703800,0.0,0.0
2025-04-11,5607.56805937169,5654.49331509865,5443.329664327331,5537.18017578125,16926600,0.0,0.0
2025-04-14,5537.180033526082,6053.357833261564,5537.180033526082,5959.50732421875,18568800,0.0,0.0
2025-04-15,6006.432915057915,6311.4470865257,5959.507657909025,6076.82080078125,18718700,0.0,0.0
2025-04-16,6569.535833145307,6757.236856949459,6381.834809341156,6499.14794921875,37637300,0.0,0.0
2025-04-17,6499.148139897925,6522.610768561816,6287.984481922902,6428.76025390625,12294300,0.0,0.0
2025-04-21,6475.685438368056,6499.14806676794,6287.984411168981,6334.90966796875,6480800,0.0,0.0
2025-04-22,6334.909550107758,7109.176272898707,6287.984294181034,6804.162109375,30459300,0.0,0.0
2025-04-23,6874.5501118043285,6898.012740172261,6616.461199757066,6639.923828125,19519200,0.0,0.0
2025-04-24,6686.848819813829,6827.624584441489,6592.998310062057,6616.4609375,10588400,0.0,0.0
2025-04-25,6686.849084860865,6733.774341596732,6569.535943021201,6639.923828125,8814900,0.0,0.0
2025-04-28,6639.923564937943,6686.848819813829,6475.68517287234,6616.4609375,13015500,0.0,0.0
2025-04-29,6616.460820737092,6710.311328832654,6475.68505859375,6475.68505859375,11594600,0.0,0.0
2025-04-30,6475.6851693192375,6475.6851693192375,6287.98414991868,6311.44677734375,17603300,0.0,0.0
2025-05-02,6264.52152249361,6358.372032193889,6241.058895068541,6311.44677734375,9908200,0.0,0.0
2025-05-05,6334.909589213709,6569.535870295699,6311.44696110551,6546.0732421875,15352600,0.0,0.0
2025-05-06,6592.9984611208265,6639.923717071864,6499.14794921875,6499.14794921875,9190400,0.0,0.0
2025-05-07,6569.535870295699,6686.849010836693,6499.147985971102,6546.0732421875,14878000,0.0,0.0
2025-05-08,6592.998384915866,6780.699406550481,6475.685246394231,6710.3115234375,32010600,0.0,0.0
