ticker,pdf_period,report_date,cash_and_equivalents,trade_receivables,inventories,current_assets,fixed_assets,total_assets,trade_payable,current_bank_loans,current_liabilities,longterm_bank_loans,total_liabilities,common_stocks,retained_earnings,total_equity,revenues,gross_profit,operating_profit,interest_finance_costs,ebt,tax,net_profit,net_profit_attributable,comprehensive_income,comprehensive_attributable,cfo,cfi,cff,net_change_cash,cash_end_period,current_ratio,dar,der,eps,per,book_value,pbv,roa,roe,gpm,opm,npm,dps,dpr,dividend_yield,listed_shares_million,market_cap_billion_idr,usd_rate_idr
INDY,2023,Dec 2022,18017166.0,8331189.0,944744.0,31228240.0,3440392.0,56035653.0,5341001.0,,18381823.0,1422380.0,35139660.0,887062.0,13848221.0,35139660.0,67589928.0,22621062.0,18867666.0,1614265.0,15753178.0,-7789157.0,7964021.0,7058133.0,8795528.0,7301877.0,14439368.0,511994.0,-10373315.0,4578048.0,18017166.0,,0.63,1.68,1230.17,2.22,4011.0,0.39,14.21,38.11,33.47,27.91,11.78,114.46,,7.41,5210.0,14224.0,15592.0
INDY,2023,Jun 2023,10158219.0,6619511.0,714389.0,21295932.0,4152449.0,45941057.0,4288782.0,,9747313.0,1237472.0,25741237.0,853382.0,13570755.0,25741237.0,25098276.0,5249042.0,3461474.0,613921.0,2674086.0,-1041163.0,1632924.0,1347114.0,1663336.0,1349776.0,-4513749.0,-1025613.0,-1683301.0,-7222662.0,10158219.0,,0.56,1.27,1317.28,1.45,3877.0,0.7,3.55,8.08,20.91,13.79,6.51,208.0,,7.62,5210.0,9951.0,15000.0
INKP,2023,Dec 2019,10790153.0,16295472.0,5684345.0,58775065.0,50960803.0,118561087.0,2472602.0,,25560808.0,8080486.0,62701921.0,30525828.0,25099466.0,62701921.0,44946869.0,12220045.0,7814332.0,-2804744.0,5548674.0,-1722305.0,3826369.0,3826090.0,3795522.0,3795257.0,7317025.0,763196.0,-7830341.0,249880.0,10790153.0,,0.53,1.12,771.48,9.98,10210.0,1.13,3.23,6.85,27.19,17.39,8.51,100.0,12.96,0.87,5471.0,42127.0,13945.0
INKP,2023,Dec 2020,12282507.0,18256990.0,5146858.0,61238169.0,49385851.0,119839987.0,2761026.0,,27122025.0,6297770.0,59898829.0,30876071.0,28849055.0,59898829.0,42117995.0,12168482.0,7494353.0,-2936661.0,5408379.0,-1260931.0,4147448.0,4147618.0,4127095.0,4127264.0,7671484.0,-2266631.0,-3806446.0,1598407.0,12282507.0,,0.5,1.0,866.44,12.03,10956.0,0.7,3.46,6.92,28.89,17.79,9.85,50.0,5.77,0.65,5471.0,57035.0,14105.0
INKP,2023,Dec 2021,15117392.0,20067037.0,6300791.0,67094664.0,49451217.0,128113432.0,3307568.0,,32321012.0,8819869.0,60211399.0,31235069.0,36436020.0,60211399.0,50178166.0,17527983.0,12257727.0,-3590280.0,9455139.0,-1934819.0,7520319.0,7520890.0,7533290.0,7533861.0,9683871.0,-5711681.0,-1306199.0,2665991.0,15117392.0,,0.47,0.89,997.39,7.85,12411.0,0.84,5.87,11.08,34.93,24.43,14.99,50.0,5.01,0.48,5471.0,42810.0,14269.0
INKP,2023,Dec 2022,19730647.0,28376302.0,7586100.0,85390477.0,763364456.0,150318122.0,3294652.0,,34923632.0,6164453.0,62921781.0,34131137.0,52973134.0,62921781.0,62409038.0,24790329.0,17744990.0,3961631.0,16332604.0,-2963057.0,13369548.0,13370343.0,13394573.0,13395368.0,6329011.0,-2272051.0,-1016131.0,3040830.0,19730647.0,,0.42,0.72,2035.15,4.29,15975.0,0.49,8.89,15.3,39.72,28.43,21.42,50.0,2.46,0.64,5471.0,47734.0,15592.0
INKP,2023,Jun 2023,18290970.0,30831015.0,5925570.0,83577405.0,48416550.0,145308045.0,2938995.0,,30453645.0,6685440.0,57468195.0,32835240.0,54711615.0,57468195.0,28964685.0,10285260.0,7599075.0,2212395.0,5036865.0,-1009455.0,4027410.0,4027935.0,4039950.0,4040475.0,3601695.0,-989820.0,-3220470.0,-608595.0,18290970.0,,0.4,0.65,2345.55,3.62,16056.0,0.54,2.77,4.58,35.51,26.24,13.9,50.0,2.13,0.57,5471.0,46503.0,15000.0
INTP,2023,Dec 2019,7651750.0,2984151.0,1895176.0,12829494.0,14080158.0,27707749.0,1748776.0,,3873487.0,,4627488.0,1840616.0,18703116.0,4627488.0,15939348.0,5500317.0,1997087.0,-7738.0,2274427.0,-439122.0,1835305.0,1835305.0,1883349.0,1883349.0,3530772.0,-1045966.0,-2026357.0,458449.0,7651750.0,,0.17,0.2,462.9,41.1,6270.0,2.94,6.62,7.95,34.51,12.53,11.51,550.0,118.82,2.98,3681.0,70035.0,13945.0
INTP,2023,Dec 2020,7697631.0,2584652.0,1823772.0,12299306.0,14397092.0,27344672.0,1580229.0,,4215956.0,,5168424.0,1840616.0,17636769.0,5168424.0,14184322.0,5113552.0,1960037.0,-51101.0,2148328.0,-341991.0,1806337.0,1806337.0,1764880.0,1764880.0,3538011.0,-661734.0,-2862698.0,13579.0,7697631.0,,0.19,0.23,482.52,30.0,6024.0,3.16,6.61,8.15,36.05,13.82,12.73,725.0,150.25,3.81,3681.0,53286.0,14105.0
INTP,2023,Dec 2021,6141267.0,2586792.0,2267421.0,11336733.0,14342412.0,26136114.0,2082752.0,,4646506.0,,5515150.0,1840616.0,17669148.0,5515150.0,14771906.0,5126282.0,1907541.0,-31636.0,2234002.0,-445506.0,1788496.0,1788496.0,1872995.0,1872995.0,2606707.0,-558145.0,-3603521.0,-1554959.0,6141267.0,,0.21,0.27,515.55,23.47,5602.0,2.58,6.84,8.67,34.7,12.91,12.11,500.0,96.98,3.45,3681.0,44543.0,14269.0
